time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
9.795655,0.062369,0.006438,-4.468091,0.027215,-0.015450,-0.340866,51.542466,8.266310,0.039842,3.661565,-3.404841,-0.224087,CTRV,-0.036205,52.333042,52.138526,4.507933,79.046601,-20.767371,-1.752858,8.000000,0.027215,-0.015450,-0.340866,0.000000,0.000000,0.000000,-0.036954,0.012748,0.233070,0,takeoff,,52.333042,4.970926,-3.050218,0,,,
9.845931,0.064852,0.004653,-4.485164,0.024897,-0.014628,-0.328389,51.726534,8.094545,0.028279,3.656053,-3.410758,-0.229109,CTRV,-0.035280,52.485683,52.291259,4.513443,79.230973,-20.939342,-1.804595,8.000000,0.024897,-0.014628,-0.328389,0.000000,0.000000,0.000000,-0.039689,0.014477,0.219751,0,takeoff,,52.485683,4.972812,-3.059223,0,,,
9.895585,0.066497,0.003517,-4.497069,0.023098,-0.013796,-0.319662,51.906819,7.925784,0.016764,3.650685,-3.416504,-0.232719,CTRV,-0.034256,52.636071,52.442171,4.513833,79.417875,-21.102364,-1.844985,8.000000,0.023098,-0.013796,-0.319662,0.000000,0.000000,0.000000,-0.050651,0.020719,0.218123,0,takeoff,,52.636071,4.974472,-3.068059,0,,,
9.945942,0.068967,0.001856,-4.515596,0.020079,-0.012176,-0.306181,52.091300,7.752564,0.004861,3.645458,-3.422081,-0.234893,CTRV,-0.033401,52.790446,52.596546,4.520457,79.601667,-21.276669,-1.874284,8.000000,0.020079,-0.012176,-0.306181,0.000000,0.000000,0.000000,-0.047055,0.026621,0.211707,0,takeoff,,52.790446,4.977540,-3.078090,0,,,
9.995639,0.070434,0.000880,-4.526793,0.018169,-0.011111,-0.297812,52.270268,7.584024,-0.006733,3.640369,-3.427493,-0.235619,CTRV,-0.032378,52.941077,52.747765,4.520060,79.789697,-21.437120,-1.891689,8.000000,0.018169,-0.011111,-0.297812,0.000000,0.000000,0.000000,-0.050023,0.029132,0.208856,0,takeoff,,52.941077,4.979545,-3.087441,0,,,
10.045441,0.072409,-0.000400,-4.541997,0.015555,-0.009568,-0.286492,52.453857,7.410632,-0.018600,3.635419,-3.432744,-0.234893,CTRV,-0.031598,53.096146,52.903115,4.523398,79.971207,-21.612856,-1.897745,8.000000,0.015555,-0.009568,-0.286492,0.000000,0.000000,0.000000,-0.046841,0.026365,0.197608,0,takeoff,,53.096146,4.982390,-3.097736,0,,,
10.095520,0.073731,-0.001211,-4.552501,0.013550,-0.008366,-0.278570,52.634996,7.239073,-0.030209,3.630603,-3.437836,-0.232719,CTRV,-0.030692,53.249971,53.057594,4.522292,80.157902,-21.779568,-1.891958,8.000000,0.013550,-0.008366,-0.278570,0.000000,0.000000,0.000000,-0.050053,0.032890,0.193039,0,takeoff,,53.249971,4.984621,-3.107869,0,,,
10.145381,0.075504,-0.002223,-4.568804,0.010206,-0.006107,-0.266455,52.816677,7.066533,-0.041682,3.625922,-3.442773,-0.229109,CTRV,-0.029808,53.404995,53.212768,4.527123,80.345183,-21.947195,-1.874556,8.000000,0.010206,-0.006107,-0.266455,0.000000,0.000000,0.000000,-0.053542,0.039275,0.189443,0,takeoff,,53.404995,4.988534,-3.119057,0,,,
10.195575,0.076280,-0.002617,-4.578687,0.008144,-0.004570,-0.259051,52.997594,6.894264,-0.052863,3.621374,-3.447557,-0.224087,CTRV,-0.028973,53.560391,53.368834,4.525824,80.530386,-22.115762,-1.845562,8.000000,0.008144,-0.004570,-0.259051,0.000000,0.000000,0.000000,-0.051161,0.039968,0.186034,0,takeoff,,53.560391,4.991073,-3.129724,0,,,
10.245415,0.076847,-0.002864,-4.592043,0.004844,-0.002282,-0.249251,53.178478,6.721585,-0.063730,3.616956,-3.452192,-0.217684,CTRV,-0.028112,53.716916,53.525709,4.528313,80.718043,-22.282380,-1.805202,8.000000,0.004844,-0.002282,-0.249251,0.000000,0.000000,0.000000,-0.063165,0.042005,0.173690,0,takeoff,,53.716916,4.995020,-3.141529,0,,,
